"entity_id","awd_honor_code","awd_honor_desc","awd_honor_dt"
7,"PBK","Phi Beta Kappa",NULL
16,"CAL","CAA Leadership Award Scholar",NULL
32,"PBK","Phi Beta Kappa",NULL
32,"CAL","CAA Leadership Award Scholar",NULL
46,"PBK","Phi Beta Kappa",NULL
48,"PBK","Phi Beta Kappa",NULL
57,"ENA","Distinguished Engr Alumni Award",NULL
93,"CAL","CAA Leadership Award Scholar",NULL
97,"PBK","Phi Beta Kappa",NULL
100,"PBK","Phi Beta Kappa",NULL
113,"BMA","Berkeley Medal Recipient",NULL
113,"ACK","Clark Kerr Award",NULL
113,"CAA","Alumnus/a of the Year Award",NULL
174,"PBK","Phi Beta Kappa",NULL
224,"OTH","Other Award",NULL
224,"CAA","Alumnus/a of the Year Award",NULL
224,"CAE","CAA Excellence in Achievement Award",NULL
239,"PBK","Phi Beta Kappa",NULL
246,"PBK","Phi Beta Kappa",NULL
269,"CAL","CAA Leadership Award Scholar",NULL
275,"CAX","CAA Excellence in Service Award",NULL
298,"CAL","CAA Leadership Award Scholar",NULL
322,"PBK","Phi Beta Kappa",NULL
330,"CAC","CAA Alumni Citation",NULL
331,"LWO","Order of the Coif","2016-10-11 00:00:00"
345,"PBK","Phi Beta Kappa",NULL
370,"OTH","Other Award","2014-09-27 00:00:00"
376,"PBK","Phi Beta Kappa",NULL
380,"CAA","Alumnus/a of the Year Award",NULL
388,"CAL","CAA Leadership Award Scholar",NULL
430,"BCA","Berkeley Citation Award",NULL
430,"CAC","CAA Alumni Citation",NULL
451,"PBK","Phi Beta Kappa",NULL
465,"PBK","Phi Beta Kappa",NULL
467,"BUB","Haas Business Leader of the Year","1972-07-01 00:00:00"
467,"CAA","Alumnus/a of the Year Award",NULL
467,"PBK","Phi Beta Kappa",NULL
472,"BMA","Berkeley Medal Recipient",NULL
472,"ACK","Clark Kerr Award",NULL
472,"BCA","Berkeley Citation Award",NULL
472,"PBK","Phi Beta Kappa",NULL
472,"CAA","Alumnus/a of the Year Award",NULL
472,"OTH","Other Award","2011-03-24 00:00:00"
493,"PBK","Phi Beta Kappa",NULL
495,"LWC","Boalt Law School Citation Award",NULL
495,"BCA","Berkeley Citation Award",NULL
495,"CAE","CAA Excellence in Achievement Award",NULL
495,"CAA","Alumnus/a of the Year Award",NULL
495,"PBK","Phi Beta Kappa",NULL
495,"LWC","Boalt Law School Citation Award","1972-05-01 00:00:00"
496,"CAA","Alumnus/a of the Year Award",NULL
496,"OTH","Other Award","2011-03-24 00:00:00"
513,"RSA","Regents' Scholar-Aid Recipient",NULL
513,"PBK","Phi Beta Kappa",NULL
517,"WOA","Wheeler Oak Award Recipient",NULL
517,"CAX","CAA Excellence in Service Award",NULL
517,"TRC","Trustees' Citation",NULL
517,"WOA","Wheeler Oak Award Recipient","2004-01-12 00:00:00"
534,"PBK","Phi Beta Kappa",NULL
536,"PBK","Phi Beta Kappa",NULL
569,"PBK","Phi Beta Kappa",NULL
603,"BUN","Haas Public Service Award Nominee",NULL
603,"CAC","CAA Alumni Citation",NULL
607,"CAL","CAA Leadership Award Scholar",NULL
615,"PBK","Phi Beta Kappa",NULL
616,"ENA","Distinguished Engr Alumni Award",NULL
616,"BUN","Haas Public Service Award Nominee",NULL
