"entity_id","sport_code","sport_desc","sport_particip_code","sport_participation_desc","start_dt","stop_dt"
42,"RSFC","Cal Fencing Club","P","Participated",NULL,NULL
50,"ICA","Intercollegiate Athlete","P","Participated",NULL,NULL
50,"MARU","Rugby - Men","P","Participated",NULL,NULL
50,"MAFL","Football - Men","P","Participated",NULL,NULL
50,"MATL","Track & Field - Men","P","Participated",NULL,NULL
58,"ICA","Intercollegiate Athlete","P","Participated",NULL,NULL
58,"MABB","Basketball - Men","P","Participated",NULL,NULL
80,"ICA","Intercollegiate Athlete","P","Participated",NULL,NULL
80,"WATN","Tennis - Women","P","Participated",NULL,NULL
92,"ICA","Intercollegiate Athlete","P","Participated",NULL,NULL
92,"MABO","Boxing - Men","P","Participated",NULL,NULL
92,"RSBX","Cal Boxing Club","P","Participated",NULL,NULL
93,"ICA","Intercollegiate Athlete","P","Participated",NULL,NULL
93,"MAWP","Water Polo - Men","P","Participated",NULL,NULL
93,"MASW","Swimming & Diving - Men","P","Participated",NULL,NULL
113,"ICA","Intercollegiate Athlete","P","Participated",NULL,NULL
113,"MARU","Rugby - Men","P","Participated",NULL,NULL
135,"RSSL","Cal Sailing Club","P","Participated",NULL,NULL
147,"ICA","Intercollegiate Athlete","P","Participated",NULL,NULL
147,"MARU","Rugby - Men","P","Participated",NULL,NULL
197,"ICA","Intercollegiate Athlete","P","Participated",NULL,NULL
197,"MATN","Tennis - Men","P","Participated",NULL,NULL
260,"ICA","Intercollegiate Athlete","P","Participated",NULL,NULL
260,"MASO","Soccer - Men","P","Participated",NULL,NULL
268,"ICA","Intercollegiate Athlete","P","Participated",NULL,NULL
268,"MABO","Boxing - Men","P","Participated",NULL,NULL
268,"RSBX","Cal Boxing Club","P","Participated",NULL,NULL
288,"ICA","Intercollegiate Athlete","P","Participated",NULL,NULL
288,"MAFL","Football - Men","P","Participated",NULL,NULL
293,"ICA","Intercollegiate Athlete","P","Participated",NULL,NULL
293,"MAFL","Football - Men","P","Participated",NULL,NULL
315,"ICA","Intercollegiate Athlete","P","Participated",NULL,NULL
315,"MAFL","Football - Men","P","Participated",NULL,NULL
315,"MABB","Basketball - Men","P","Participated",NULL,NULL
315,"MATL","Track & Field - Men","P","Participated",NULL,NULL
340,"ICA","Intercollegiate Athlete","P","Participated",NULL,NULL
340,"MABO","Boxing - Men","P","Participated",NULL,NULL
340,"RSBX","Cal Boxing Club","P","Participated",NULL,NULL
344,"ICA","Intercollegiate Athlete","P","Participated",NULL,NULL
344,"MATN","Tennis - Men","P","Participated",NULL,NULL
347,"ICA","Intercollegiate Athlete","P","Participated",NULL,NULL
347,"MATL","Track & Field - Men","P","Participated",NULL,NULL
370,"ICA","Intercollegiate Athlete","P","Participated",NULL,NULL
